,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10759,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19602531.0,19602531.0,False,,1,,,,2024-01-19T13:24:00.000Z,41347.22956426536,26628771430.330032,34.3116,0.07065159,-2.43383178,-9.83701292,-4.37454543,11.00869756,39.01352651,810510349297.6283,49.63,868291820849.57,,2024-01-19T13:24:00.000Z,,,,,,2024-01-19 18:55:05.688259
1,1027,Ethereum,ETH,ethereum,8283,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120177064.7486905,120177064.7486905,True,,2,,,,2024-01-19T13:24:00.000Z,2490.272701892979,11507123891.981968,11.0417,0.28170821,-0.57380805,-6.84565256,11.78780324,22.87175146,55.0900562,299273663737.289,18.3254,299273663737.29,,2024-01-19T13:24:00.000Z,,,,,,2024-01-19 18:55:05.688259
2,825,Tether USDt,USDT,tether,72138,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,95060023617.71117,98601637401.38153,True,,3,,,,2024-01-19T13:23:00.000Z,0.99894761349303,46210139081.25372,16.8626,-0.00736518,-0.03522652,-0.11038441,-0.10945031,-0.16185169,-0.1367692,94959983731.50363,5.8147,98497870368.62,,2024-01-19T13:23:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-19 18:55:05.688259
3,1839,BNB,BNB,bnb,2023,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149548994.65924242,149548994.65924242,False,,4,,,,2024-01-19T13:23:00.000Z,314.3090901305886,1091924164.439458,6.926,0.17084488,0.92544888,0.82569473,21.48936777,27.08267239,47.83918419,47004608441.29073,2.8782,47004608441.29,,2024-01-19T13:23:00.000Z,,,,,,2024-01-19 18:55:05.688259
4,5426,Solana,SOL,solana,616,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,432790804.1914553,567391372.8526114,True,,5,,,,2024-01-19T13:24:00.000Z,94.26391099065378,2392704046.7625203,-13.1083,-0.11499357,-3.97566099,-4.01788926,20.7048337,55.9122761,226.57837304,40796553843.876816,2.4981,53484529867.44,,2024-01-19T13:24:00.000Z,,,,,,2024-01-19 18:55:05.688259
5,52,XRP,XRP,xrp,1207,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54339837728.0,99987984506.0,False,,6,,,,2024-01-19T13:24:00.000Z,0.5498816640009344,1127796024.6848342,24.451,0.1016131,-1.66385437,-8.15438623,-11.13098919,-11.83665949,6.55212548,29880480391.413395,1.8297,54988166400.09,,2024-01-19T13:24:00.000Z,,,,,,2024-01-19 18:55:05.688259
6,3408,USDC,USDC,usd-coin,16274,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25641056228.830334,25641056228.830334,False,,7,,,,2024-01-19T13:24:00.000Z,1.0001045786221845,6051648201.810479,17.281,0.00069661,-0.00351557,0.00080303,0.01373441,0.00649441,0.00984758,25643737735.1621,1.5702,25643737735.16,,2024-01-19T13:24:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-01-19 18:55:05.688259
7,2010,Cardano,ADA,cardano,1033,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35400862784.445,36542697459.69,False,,8,,,,2024-01-19T13:23:00.000Z,0.4983936759268588,416988666.83803874,44.334,-0.11502721,-2.61736615,-14.18606753,-16.36234632,27.4303413,94.39276839,17643566134.121876,1.0804,22427715416.71,,2024-01-19T13:23:00.000Z,,,,,,2024-01-19 18:55:05.688259
8,5805,Avalanche,AVAX,avalanche,641,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,366791606.9747032,434824516.9747032,False,,9,,,,2024-01-19T13:23:00.000Z,33.48607455840539,533860542.6387739,9.6804,-0.04149606,-4.14409422,-12.75456078,-22.01316141,53.22620598,252.38514437,12282411098.552238,0.7521,24109973682.05,,2024-01-19T13:23:00.000Z,,,,,,2024-01-19 18:55:05.688259
9,74,Dogecoin,DOGE,dogecoin,879,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,142716826383.7052,142716826383.7052,True,,10,,,,2024-01-19T13:24:00.000Z,0.07815735989174853,332327396.87087727,34.1765,0.16053279,-1.59422208,-7.89633312,-14.91180019,-3.66980462,29.12204233,11154370362.27944,0.683,11154370362.28,,2024-01-19T13:24:00.000Z,,,,,,2024-01-19 18:55:05.688259
